,title,extract,vectored
10,Indigenous cuisine,Indigenous cuisine is a type of cuisine that is based on the preparation of cooking recipes with products obtained from native species of a specific area.,"['indigenous cuisine', -0.34716999530792236, -0.45923998951911926, -1.0185999870300293, 0.6956999897956848, 0.30313000082969666, 0.5229200124740601, -0.7511900067329407, -0.8174899816513062, -0.27636998891830444, 0.3696100115776062, 1.1115000247955322, -0.33125001192092896, 2.003999948501587, -0.5845800042152405, -0.3598499894142151, -0.44339999556541443, 0.5582200288772583, 0.19639000296592712, 0.2678700089454651, -0.07810600101947784, -1.3072999715805054, 0.3096199929714203, -0.06408999860286713, -0.11332999914884567, 0.7491199970245361, -0.04140400141477585, -0.25137001276016235, -1.4144999980926514, -0.35951998829841614, 0.16276000440120697, 2.6988000869750977, -0.249549999833107, -0.7898899912834167, -0.4617300033569336, -0.21286000311374664, 0.1780499964952469, -0.9887300133705139, -0.6636999845504761, -0.7401900291442871, 0.6522300243377686, -0.685920000076294, -0.17562000453472137, 0.6382399797439575, 0.1892700046300888, 0.24884000420570374, 0.307669997215271, -1.0006999969482422, 0.21629999577999115, -0.38666000962257385, -1.2405999898910522]"
11,Knowledge,"Knowledge is often understood as awareness of facts or as practical skills, and may also mean familiarity with objects or situations. Knowledge of facts, also called propositional knowledge, is often defined as true belief that is distinct from opinion or guesswork by virtue of justification. While there is wide agreement among philosophers that propositional knowledge is a form of true belief, many controversies in philosophy focus on justification: whether it is needed at all, how to understand it, and whether something else besides it is needed. These controversies intensified due to a series of thought experiments by Edmund Gettier and have provoked various alternative definitions. Some of them deny that justification is necessary and replace it, for example, with reliability or the manifestation of cognitive virtues. Others contend that justification is needed but formulate additional requirements, for example, that no defeaters of the belief are present or that the person would not have the belief if it was false.","['knowledge', 0.4234299957752228, 0.5381399989128113, -0.450980007648468, 0.04144600033760071, 0.9823099970817566, -0.00987400021404028, 0.07969000190496445, -0.21400000154972076, 0.5142899751663208, 0.6114100217819214, 0.575160026550293, 0.8686800003051758, -0.12535999715328217, -0.7984499931335449, -0.29502999782562256, -0.06264899671077728, 0.1739100068807602, 0.35187000036239624, 0.4566499888896942, 0.02356399968266487, 0.27702999114990234, 0.7101799845695496, 0.22700999677181244, -0.2445099949836731, 0.8154500126838684, -1.3212000131607056, -0.8735299706459045, -0.8327599763870239, 0.32335999608039856, 0.0872109979391098, 2.9042000770568848, -0.14305000007152557, -0.34808000922203064, -1.6425000429153442, 0.07124300301074982, 0.40588000416755676, -0.8999099731445312, 0.4925599992275238, -0.02595899999141693, 0.15602000057697296, 0.637220025062561, -0.722100019454956, 0.002493100007995963, 1.0537999868392944, -0.2852500081062317, -0.29401999711990356, 0.3706499934196472, 1.1958999633789062, 0.18655000627040863, -0.3757399916648865]"
12,Traditional knowledge,"Traditional knowledge (TK), indigenous knowledge (IK) and local knowledge generally refer to knowledge systems embedded in the cultural traditions of regional, indigenous, or local communities. According to the World Intellectual Property Organization (WIPO) and the United Nations (UN), traditional knowledge and traditional cultural expressions (TCE) are both types of indigenous knowledge.","['traditional knowledge', -0.5428299903869629, 0.36427000164985657, -1.6783000230789185, -0.14462999999523163, 0.2311200052499771, 0.2935900092124939, -0.43977001309394836, -0.9099400043487549, -0.44554999470710754, 0.2484399974346161, 0.2648000121116638, -0.21336999535560608, 1.0456000566482544, 0.3136500120162964, -0.7813699841499329, 0.3103500008583069, -0.2829900085926056, 0.056738998740911484, 0.49243998527526855, -0.700219988822937, 0.24274000525474548, -0.22146999835968018, -0.5953599810600281, 0.34793999791145325, -0.2089100033044815, -0.9774500131607056, -1.295199990272522, -0.40832000970840454, 0.08432400226593018, -0.06368099898099899, 3.5815999507904053, 0.5099800229072571, -0.5217700004577637, 0.4966999888420105, 0.09837400168180466, 0.3720700144767761, -0.5907099843025208, 0.12625999748706818, -0.9104499816894531, 0.4002299904823303, -0.09740100055932999, 0.0630130022764206, -0.3408200144767761, 0.6863499879837036, 0.6215000152587891, 0.2887299954891205, 0.07213500142097473, -0.19304999709129333, -0.32280999422073364, -0.7053800225257874]"
13,Traditional ecological knowledge,"Traditional ecological knowledge (TEK) describes indigenous and other traditional knowledge of local resources. As a field of study in Northern American anthropology, TEK refers to ""a cumulative body of knowledge, belief, and practice, evolving by accumulation of TEK and handed down through generations through traditional songs, stories and beliefs. It is concerned with the relationship of living beings with their traditional groups and with their environment."" Indigenous knowledge is not a universal concept among various societies, but is referred to a system of knowledge traditions or practices that are heavily dependent on ""place"". Such knowledge is used in natural resource management as a substitute for baseline environmental data in cases where there is little recorded scientific data, or may complement Western scientific methods of ecological management.","['traditional ecological knowledge', -0.5428299903869629, 0.36427000164985657, -1.6783000230789185, -0.14462999999523163, 0.2311200052499771, 0.2935900092124939, -0.43977001309394836, -0.9099400043487549, -0.44554999470710754, 0.2484399974346161, 0.2648000121116638, -0.21336999535560608, 1.0456000566482544, 0.3136500120162964, -0.7813699841499329, 0.3103500008583069, -0.2829900085926056, 0.056738998740911484, 0.49243998527526855, -0.700219988822937, 0.24274000525474548, -0.22146999835968018, -0.5953599810600281, 0.34793999791145325, -0.2089100033044815, -0.9774500131607056, -1.295199990272522, -0.40832000970840454, 0.08432400226593018, -0.06368099898099899, 3.5815999507904053, 0.5099800229072571, -0.5217700004577637, 0.4966999888420105, 0.09837400168180466, 0.3720700144767761, -0.5907099843025208, 0.12625999748706818, -0.9104499816894531, 0.4002299904823303, -0.09740100055932999, 0.0630130022764206, -0.3408200144767761, 0.6863499879837036, 0.6215000152587891, 0.2887299954891205, 0.07213500142097473, -0.19304999709129333, -0.32280999422073364, -0.7053800225257874]"
14,Indigenous science,"Indigenous science is the application and intersection of Indigenous knowledge and science. In ecology this is sometimes termed traditional ecological knowledge. Indigneous science is a holistic understanding of an Indigenous Nations territory or place. It follows the same methods of Western science including : observation, prediction, interpretation, questioning, etc...","['indigenous science', -0.34716999530792236, -0.45923998951911926, -1.0185999870300293, 0.6956999897956848, 0.30313000082969666, 0.5229200124740601, -0.7511900067329407, -0.8174899816513062, -0.27636998891830444, 0.3696100115776062, 1.1115000247955322, -0.33125001192092896, 2.003999948501587, -0.5845800042152405, -0.3598499894142151, -0.44339999556541443, 0.5582200288772583, 0.19639000296592712, 0.2678700089454651, -0.07810600101947784, -1.3072999715805054, 0.3096199929714203, -0.06408999860286713, -0.11332999914884567, 0.7491199970245361, -0.04140400141477585, -0.25137001276016235, -1.4144999980926514, -0.35951998829841614, 0.16276000440120697, 2.6988000869750977, -0.249549999833107, -0.7898899912834167, -0.4617300033569336, -0.21286000311374664, 0.1780499964952469, -0.9887300133705139, -0.6636999845504761, -0.7401900291442871, 0.6522300243377686, -0.685920000076294, -0.17562000453472137, 0.6382399797439575, 0.1892700046300888, 0.24884000420570374, 0.307669997215271, -1.0006999969482422, 0.21629999577999115, -0.38666000962257385, -1.2405999898910522]"
15,Water,"Water is an inorganic compound with the chemical formula H2O. It is a transparent, tasteless, odorless, and nearly colorless chemical substance, which is the main constituent of Earth's hydrosphere and the fluids of all known living organisms (in which it acts as a solvent). It is vital for all known forms of life, despite not providing food, energy or organic micronutrients. Its chemical formula, H2O, indicates that each of its molecules contains one oxygen and two hydrogen atoms, connected by covalent bonds. The hydrogen atoms are attached to the oxygen atom at an angle of 104.45°. ""Water"" is also the name of the liquid state of H2O at standard temperature and pressure.","['water', 0.53507000207901, 0.5760999917984009, -0.054350998252630234, -0.20800000429153442, -0.7882000207901001, -0.17591999471187592, -0.21254999935626984, -0.1438799947500229, 1.0343999862670898, -0.07925300300121307, 0.27695998549461365, 0.37950998544692993, 1.2138999700546265, -0.34031999111175537, -0.18118000030517578, 0.7296800017356873, 0.8937299847602844, 0.8291199803352356, -0.8893200159072876, -1.407099962234497, 0.5557100176811218, -0.01745299994945526, 1.2524000406265259, -0.5791599750518799, 0.4300000071525574, -0.7793499827384949, 0.4977000057697296, 1.2746000289916992, 1.044800043106079, 0.364329993724823, 3.792099952697754, 0.08365300297737122, -0.450439989566803, -0.06399600207805634, -0.1986600011587143, 0.7525200247764587, -0.27810999751091003, 0.4278300106525421, 1.4754999876022339, 0.37735000252723694, 0.07951900362968445, 0.024461999535560608, 0.5012999773025513, 0.3356499969959259, 0.051405999809503555, 0.39879000186920166, -0.3560299873352051, -0.7865399718284607, 0.6156299710273743, -0.9547799825668335]"
16,Soil,"Soil, also commonly referred to as earth or dirt, is a mixture of organic matter, minerals, gases, liquids, and organisms that together support life. Some scientific definitions distinguish dirt from soil by restricting the former term specifically to displaced soil.","['soil', -0.02065500058233738, 0.345770001411438, 0.09323800355195999, 0.0019944000523537397, -0.3059700131416321, -0.21881000697612762, 0.14194999635219574, 0.28700000047683716, 0.6022899746894836, -0.36164000630378723, 0.7679499983787537, -0.2663300037384033, 1.086899995803833, -0.18416999280452728, -0.19426999986171722, 0.9597399830818176, 1.4941999912261963, -0.03062400035560131, -0.29853999614715576, -0.3206300139427185, -0.6371700167655945, -0.2123199999332428, 1.5312999486923218, -0.7106099724769592, 0.11584000289440155, -0.33055999875068665, 0.08253099769353867, 0.5542500019073486, 1.0877000093460083, 1.142300009727478, 2.6877999305725098, -1.135599970817566, -1.0780999660491943, -0.9644799828529358, -0.0517520010471344, 1.0354000329971313, -0.7222599983215332, 0.7884600162506104, 0.5242599844932556, -0.3694800138473511, -0.027073999866843224, -0.632830023765564, 0.914330005645752, 0.1332399994134903, 0.8091199994087219, -0.4383400082588196, 0.39421001076698303, -0.1788800060749054, 0.1151299998164177, -1.0714999437332153]"
17,Biology,"Biology is the scientific study of life. It is a natural science with a broad scope but has several unifying themes that tie it together as a single, coherent field. For instance, all organisms are made up of cells that process hereditary information encoded in genes, which can be transmitted to future generations. Another major theme is evolution, which explains the unity and diversity of life. Energy processing is also important to life as it allows organisms to move, grow, and reproduce. Finally, all organisms are able to regulate their own internal environments.","['biology', -0.325190007686615, 1.0813000202178955, -0.737820029258728, 0.08766499906778336, 0.22888000309467316, 0.6474999785423279, 0.13425999879837036, -1.5757999420166016, 0.5115200281143188, -0.08791399747133255, 0.9353100061416626, 0.20949000120162964, 0.34950000047683716, 0.20509999990463257, -0.45107001066207886, 0.13479000329971313, -0.19415000081062317, 0.8668299913406372, -0.28273001313209534, 0.7749199867248535, -0.03293899819254875, 0.0015081999590620399, 0.5985599756240845, 0.027326999232172966, 0.6291199922561646, -0.9257599711418152, -0.3266499936580658, -1.0077999830245972, -0.702430009841919, -0.04336199909448624, 1.721500039100647, -1.003100037574768, -0.41168999671936035, -2.1112000942230225, 0.10655999928712845, 0.20487000048160553, -0.8557500243186951, 1.4077999591827393, 1.6878999471664429, 0.7152100205421448, -0.31716999411582947, -1.1002000570297241, 0.4830000102519989, 1.2608000040054321, 0.688289999961853, 0.537630021572113, 1.954200029373169, 0.4417499899864197, -0.30140000581741333, 0.39388999342918396]"
18,Animal,"Animals are multicellular, eukaryotic organisms in the biological kingdom Animalia. With few exceptions, animals consume organic material, breathe oxygen, are able to move, can reproduce sexually, and grow from a hollow sphere of cells, the blastula, during embryonic development. Over 1.5 million living animal species have been described—of which around 1 million are insects—but it has been estimated there are over 7 million animal species in total. Animals range in length from 8.5 micrometres (0.00033 in) to 33.6 metres (110 ft). They have complex interactions with each other and their environments, forming intricate food webs. The scientific study of animals is known as zoology.","['animal', 0.4965200126171112, -0.6514300107955933, -1.086899995803833, -0.10204999893903732, 0.8172399997711182, 0.9229999780654907, -0.5620599985122681, -1.3801000118255615, 1.8114999532699585, 0.06843800097703934, 0.6390600204467773, 0.2446800023317337, 1.0307999849319458, 0.10202000290155411, 0.4849799871444702, -0.08387000113725662, 0.6168799996376038, 0.35811999440193176, -0.7519599795341492, -0.3547999858856201, -0.14172999560832977, 0.04231100156903267, 0.4224199950695038, -0.2101300060749054, 0.2893500030040741, -1.121399998664856, -0.5278000235557556, -0.04629800096154213, 0.0646430030465126, -0.4392400085926056, 2.400399923324585, -0.29714998602867126, -0.1976500004529953, -0.8872500061988831, -0.6295499801635742, 0.6409199833869934, 0.14741000533103943, -0.008943100459873676, 0.395689994096756, 0.060899000614881516, -0.33917000889778137, -0.15896999835968018, 0.2211499959230423, 0.838129997253418, 1.6031999588012695, -0.010251999832689762, -0.3684299886226654, -0.3200500011444092, 0.4657999873161316, -0.10813000053167343]"
19,Plant,"Plants are predominantly photosynthetic eukaryotes of the kingdom Plantae. Historically, the plant kingdom encompassed all living things that were not animals, and included algae and fungi; however, all current definitions of Plantae exclude the fungi and some algae, as well as the prokaryotes. By one definition, plants form the clade Viridiplantae which is sister of the Glaucophyta, and consists of the green algae and Embryophyta. The latter includes the flowering plants, conifers and other gymnosperms, ferns and their allies, hornworts, liverworts, and mosses.","['plant', 1.3167999982833862, 0.33647000789642334, 0.2359600067138672, 0.9490299820899963, -0.3138999938964844, 0.49869000911712646, -0.5834900140762329, -0.1451999992132187, 0.5742499828338623, -0.15347999334335327, 0.7254599928855896, -0.6184800267219543, 0.9090200066566467, -1.072100043296814, 0.3598800003528595, 0.7714300155639648, 0.12514999508857727, 2.035599946975708, -0.39094001054763794, -0.792460024356842, 0.29155999422073364, -1.5464999675750732, -0.35780999064445496, -0.4422900080680847, -0.11486999690532684, -1.1789000034332275, 0.4520600140094757, 0.6386899948120117, 0.8184800148010254, -0.13149000704288483, 2.538800001144409, -1.2111999988555908, -0.4181100130081177, -0.4262700080871582, 0.28181999921798706, -0.05850299820303917, -0.09953100234270096, 0.8438100218772888, 1.0907000303268433, 0.35249000787734985, -0.19846999645233154, -1.1354999542236328, 0.26627999544143677, -0.5526599884033203, 1.558500051498413, 1.0815999507904053, -0.3791100084781647, -0.0645579993724823, -0.7259899973869324, 0.16850000619888306]"
